t_index                term    df
3303                  curv     3
3304               nirmala     1
3305                sweati     6
3306                extric     2
3307                   sir     5
3308                   maj     5
3309              orthoped     1
3310            flashlight     1
3311               salanki     1
3312           29-year-old     3
3313                oxygen     1
3314             retractor     1
3315                 scant     4
3316               clamber     5
3317              forehead     2
3318                  hole   136
3319               braveri     2
3320               illumin     1
3321                machet     6
3322          blood-splatt     1
3323             testament     2
3324                splint     1
3325                 hurri     4
3326                   tin     1
3327                 knife     5
3328               reassur     6
3329                  item     7
3330                 shini     2
3331                essenc     3
3332                    52    17
3333                 begun    31
3334                remind    27
3335                   beg     4
3336               solanki     1
3337                  tone    16
3338               nervous     4
3339                 scalp     1
3340                forcep     1
3341                tailor    11
3342                 dirti    11
3343                   odd    10
3344                 rajan     1
3345               biscuit     3
3346              malhotra     1
3347                 blood    31
3348                 space    19
3349               anybodi    14
3350                  dull     1
3351          battery-oper     1
3352               shorter     3
3353                bandag     8
3354                cylind     1
3355                surgic     3
3356                stitch     1
3357                 vivid     5
3358                  limp     5
3359                finest     5
3360                  loud    13
3361                 athal     1
3362               contain    46
3363               british    56
3364               oversea    25
3365               unavoid     2
3366              unmistak     2
3367                    21    22
3368              outstrip     1
3369                stench     2
3370              mattress     5
3371                pocket    20
3372               checker     1
3373                recogn    47
3374           25-year-old     1
3375                soccer     4
3376               stadium    13
3377                 onkar     1
3378                demand    75
3379                scurri     1
3380               unknown    38
3381                 steel    28
3382               elderli     5
3383                outlay     1
3384                  paid    30
3385                  bhug     1
3386                unfold    12
3387                  roam    12
3388                    $5    21
3389          seven-person     1
3390                  aisl     3
3391                  seek    92
3392              reexamin     1
3393               penalti    19
3394           controversi    34
3395                  undu     2
3396              procedur    31
3397                    li     3
3398              hegemoni     2
3399                 lofti     2
3400                nervou    12
3401                smooth     9
3402               briskli     3
3403                  1989    17
3404           sovereignti     8
3405      chinese-american     2
3406              bulletin     3
3407                 jiang     7
3408                exampl    40
3409           imperialist     4
3410                  aros     5
3411               pretext     2
3412                   eu-     1
3413             heartfelt     2
3414                 tibet     2
3415               marxist    11
3416             insurrect     3
3417                  yuxi     2
3418                ethnic    34
3419                   cal     2
3420                 venom     2
3421                  peng     2
3422                remark    39
3423               embassi   118
3424         anti-american    16
3425                cleans     6
3426               cleans-     1
3427                apolog    18
3428                shrill     1
3429               eastern    40
3430                stabil    43
3431                scheme     9
3432                 prais    28
3433      china-yugoslavia     2
3434                domest    16
3435                 zemin     7
3436               certifi     3
3437               mirjana     9
3438                  grew    19
3439                   in-     1
3440              xinjiang     2
3441                heroic     8
3442                  nese     1
3443               highest    36
3444                   ing     2
3445                markov    10
3446              interest   106
3447                  nato    47
3448                soviet    29
3449               ideolog    10
3450            staunchest     2
3451                 bomb-     1
3452              dictment     1
3453                  -led     5
3454                comrad     7
3455            relinquish     8
3456                  bloc     7
3457                prompt    46
3458                  sion     1
3459              internet    17
3460                  beij     3
3461                 atroc    10
3462                 adapt     5
3463                   sun    22
3464              principl    19
3465               politi-     1
3466               succes-     1
3467                 board    62
3468                     l     8
3469               traffic    24
3470              albanian    18
3471              deterior    11
3472               virtual    25
3473                expans     5
3474                  chi-     1
3475               repress     9
3476             communist    58
3477               respect    56
3478              endeavor     3
3479              vehement     3
3480           30-year-old     9
3481                 arnot     1
3482                  pick    60
3483               product    14
3484                   rob    17
3485                   163     1
3486               robberi    55
3487               newburi    21
3488               1990-99     1
3489               overpow    17
3490                 roach     2
3491                  1976     6
3492                   nap     2
3493                counti    35
3494               deflect     5
3495                 seven   130
3496               nonviol     7
3497               manhunt    27
3498                outlaw     8
3499                 usdoj     1
3500               protect    87
3501               sentenc    95
3502                kenedi    19
3503                retard     1
3504              scrutini     7
3505               definit    37
3506               surrend    34
3507               correct    24
3508                 legal    66
3509                system    82
3510                 punit     2
3511                   776     1
3512               suspect   142
3513                 brand     6
3514               appetit     2
3515                improv    59
3516                  lock    19
3517               99-year     1
3518                prison   142
3519                 penal     4
3520                   5th    24
3521                  1966     2
3522                captur    58
3523               stephen     7
3524                    jr    26
3525                 swift    11
3526                 impos    31
3527             louisiana     6
3528                 felon     4
3529                    tx    14
3530              advocaci     2
3531                aggrav    12
3532              argument    18
3533                  lone     8
3534                   kid     9
3535              behavior    10
3536               deborah     3
3537                  noon    13
3538                donald    35
3539                stipul     4
3540                inject     8
3541                commut    20
3542                  colo     9
3543                 parol    16
3544               lawsuit     2
3545           dallas-area     5
3546                murphi    21
3547                offend    13
3548                  tdcj    14
3549                 reput    29
3550              six-week     5
3551              woodland    14
3552                lockup     1
3553                rapist    14
3554         maximum-secur    17
3555                hawkin    25
3556           houston-bas     1
3557                 cohen    56
3558                  riva    23
3559                 studi    38
3560                connal    24
3561                 advoc    13
3562              prohibit     7
3563                  cage     5
3564                escape    28
3565                anyway    13
3566              christma    61
3567                  1980    44
3568                insati     1
3569                 track    47
3570                sooner     5
3571                lethal     2
3572                linger    16
3573                access    41
3574         court-appoint     2
3575                execut    71
3576                   143     2
3577                   per     7
3578                aubrey    19
3579               antonio    26
3580               kenneth    22
3581               convict   123
3582                 brief    63
3583                 inmat    41
3584                  1991    26
3585                thwart     5
3586            inadequaci     1
3587                 diann     3
3588                brutal    16
3589                suicid   129
3590                kinder     1
3591                   irv    24
3592             overcrowd     1
3593                mcduff     1
3594                  groh     1
3595                growth     8
3596              ringlead    12
3597              breakout     9
3598                  gari     8
3599                   762     1
3600                 vigor    10
3601              shootout     3
3602             policeman    14
3603                 octob    75
3604               emphasi     7
3605                 purpl     4
3606                  vari     7
3607               unstabl     9
3608                switch    20
3609               cruelti     3
3610                crumpl     3
3611                vagari     1
3612              searcher     7
3613                 pouch     2
3614                 mouth     4
3615                 merci     6
3616               project    26
3617                  blow    25
3618               monitor    15
3619               unsettl     6
3620                camera    25
3621                 widen     7
3622                sunken    25
3623                circul     8
3624               kingdom     3
3625              rock-cut     1
3626                  pair    20
3627                    da     3
3628              bedsheet     1
3629                 bloat     4
3630                   181     1
3631               sophist    22
3632               plastic    29
3633                 locat    49
3634              identifi    96
3635               languag    16
3636           overwrought     1
3637               warrior     5
3638                tradit    45
3639                symbol    31
3640               scratch     2
3641               siyaram     1
3642                potent     3
3643                 islam    67
3644              meanwhil    74
3645                 torso     1
3646             cataclysm     1
3647                 coupl    40
3648                  perk     1
3649                   jai     1
3650               swallow     4
3651              religion     8
3652                  holi    22
3653                  spot    33
3654                 erect     7
3655                    60    37
3656               trooper     5
3657                turban     1
3658                sanjay     2
3659                  lean     7
3660                scrape     4
3661                 ghost     4
3662                 clink     1
3663                 dangl     2
3664                  gaur     1
3665                 drawn    17
3666              jayantil     1
3667                chetna     1
3668                 wider     9
3669                  tilt     5
3670                  glum     1
3671                mangal     1
3672                infant     8
3673             discoveri    12
3674                   pat    13
3675                 crawl     9
3676           peach-color     1
3677        billion-dollar     5
3678                  loan    22
3679                  6000     2
3680               request    56
3681                  asia    22
3682             ahemdabad     1
3683                hazard     1
3684                 sinha     1
3685                   tom    42
3686              pasricha     1
3687               section    19
3688                crosbi     5
3689           spokeswoman    28
3690                   bad    39
3691                 avail    44
3692            short-term     3
3693               purchas    22
3694                 harin     1
3695               hondura     9
3696                  tarp     3
3697        three-year-old     1
3698                  shop    53
3699                expens    21
3700                  ongo    14
3701                 kline     2
3702                cancel    38
3703                financ    40
3704               maximum    20
3705                warmth     2
3706                bought    10
3707             long-term     9
3708              yashwant     1
3709                watkin     1
3710                 ferri     4
3711                 capac    15
3712                upward     2
3713                 mitch     5
3714                  kent     4
3715                  cope     9
3716                 shape    27
3717             centigrad     1
3718                anjana     1
3719                   lay    24
3720                sheryl     1
3721                  cost    41
3722                  5000     2
3723                  ceas     7
3724                 johnn     1
3725               yorkman     1
3726                arnold     3
3727              woodridg     1
3728                 battl    76
3729                sweden     5
3730             fifteenth     1
3731              500-year     1
3732               certain    36
3733                reuter     3
3734        seven-year-old     1
3735                   wet     3
3736                reckon     5
3737               neither    38
3738             30-and-ov     1
3739              finalist     5
3740               kuerten    16
3741          thirtysometh     1
3742            ball-strik     1
3743                formid     2
3744                    18    48
3745                becker     1
3746                stefan     1
3747               mislead     1
3748                   ken     7
3749               bloomer     1
3750                factor    23
3751                 magnu    14
3752               lleyton     7
3753               rosewal     1
3754            splashdown     1
3755                 letup     1
3756                  brad     6
3757                roland     3
3758                anymor     9
3759                hardli    15
3760                duplic     1
3761                mcenro     2
3762                norman    19
3763          steppingston     1
3764                 skill    13
3765                  soak     2
3766                 divis    26
3767                wiland     1
3768              birthday     6
3769                edberg     1
3770                  john   135
3771               courier     3
3772                   pay    46
3773                trophi     2
3774              unpreced    27
3775                  borg     1
3776           post-tourna     1
3777                 sweat     4
3778                 garro     1
3779             impromptu     2
3780                rariti     1
3781             backcourt     1
3782                fraser     1
3783                  club    15
3784                  skin     7
3785                   sop     1
3786                 lendl     1
3787              mileston     2
3788                 slump     6
3789               newcomb     1
3790                 safin    29
3791                 yarra     1
3792               gilbert     1
3793               younger    20
3794                connor     1
3795                basher     1
3796                 throw    17
3797                 bjorn     1
3798                   dip     2
3799               tougher     2
3800                  swim     5
3801                  ivan     4
3802                   mat     1
3803                incred    19
3804               gustavo    17
3805                 marat    27
3806               smarter     2
3807                 price    31
3808                  bori     7
3809                 errat     8
3810               impress    18
3811                  jane     9
3812                  dive    21
3813                hewitt     7
3814               wide-ey     1
3815             scrambler     1
3816                 cramp     8
3817              familiar    17
3818                spirit    18
3819                   atp     3
3820                  wipe    16
3821                  mind    36
3822                   nip     2
3823                 laugh     6
3824                   ash     4
3825             prescript    10
3826          second-guess     2
3827                cancer    45
3828            wraparound     1
3829                affabl     1
3830                arthur     4
3831                hunger     3
3832                  skim     8
3833             microphon     2
3834                busili     1
3835                 enabl    10
3836                courag    11
3837              impenetr     1
3838                  focu    44
3839          counterpunch     1
3840             long-hair     1
3841                  worn     8
3842                 typic     6
3843             elizabeth     7
3844               english    13
3845                 stare     7
3846                 hesit     6
3847            introspect     1
3848                  sick     8
3849                temper     4
3850                 perus     1
3851              tireless     1
3852                   gil     1
3853                  burn    46
3854                  amaz    10
3855                 fleet    72
3856              sunglass     2
3857             chopstick     1
3858                furrow     2
3859                breast     4
3860              determin   101
3861                 decod     2
3862                  guru     1
3863                 buckl    13
3864                  brow     2
3865              on-court     2
3866                 humid     3
3867                 blond     4
3868             treatment    34
3869                  roll    27
3870                borrow     2
3871                  vega     4
3872                 steep    15
3873                  imag    28
3874                 train    50
3875               immobil     2
3876               happili     1
3877               blankli     2
3878                chuckl     2
3879                  soap     1
3880                 queen     3
3881                   awe     3
3882                vanish     6
3883                harder    10
3884                snatch     8
3885                august    32
3886                 tamme     1
3887                 muscl     4
3888              notebook     2
3889                  size    19
3890                 morph     1
3891             entertain     5
3892                absorb     9
3893                regret    13
3894                 fresh    18
3895                  lung     9
3896            disassembl     1
3897            good-natur     1
3898              perspect    10
3899                recipi     2
3900                recept     6
3901                broker     7
3902               current    52
3903                notion     4
3904               wolfson     4
3905                 eager    18
3906                  $100    11
3907                assort     1
3908                 relev     6
3909                    el    68
3910               minimum    13
3911                 spous     7
3912                  $300     7
3913              nine-pag     1
3914                suppos    19
3915               mourton     1
3916                review    51
3917                divers     8
3918                 omiss     2
3919                  rate    15
3920                  wane     9
3921                  type    23
3922                hubbel     8
3923                 hasid     3
3924             streamlin     1
3925               inaugur    26
3926                 steal    27
3927             customari     2
3928            bank-fraud     1
3929                 roger    48
3930            millionair    15
3931              tax-evas     1
3932                 lobbi     7
3933               rapidli    13
3934                  mere    17
3935                bureau    33
3936                  fair    45
3937                 garri     2
3938                caller     5
3939               mention    37
3940                 adher     4
3941                variou    24
3942              lobbyist     1
3943                 merit    13
3944                notabl    10
3945                  paso    10
3946                reagan     9
3947                   300    38
3948               webster     8
3949               disturb     9
3950                extens    34
3951              unsheath     1
3952            unrestrict     1
3953              in-depth     1
3954                  firm    32
3955                ginger     2
3956                jockey     1
3957             represent     3
3958              lewinski     3
3959              strictli     7
3960               whitacr     1
3961               increas    42
3962                   176     4
3963               johnson    14
3964           predecessor     7
3965                  idea    41
3966               discuss    75
3967                ronald    13
3968            college-ag     1
3969                  load    50
3970                puerto     2
3971                  $200    10
3972                 rican     2
3973                lyndon     8
3974               stagger     9
3975               process   100
3976                bhakta     1
3977                approv    25
3978               nichola     2
3979               counsel    24
3980                   fee     5
3981               michael    43
3982                attest     2
3983               stanley     4
3984                anxiou    11
3985            katzenbach     1
3986                fiscal     3
3987             price-fix     1
3988             wide-rang     3
3989           unknowingli     1
3990                client     9
3991                 array     5
3992                   fbi   113
3993             reschedul     1
3994                   $40     2
3995             mandatori     7
3996             recommend    41
3997                rodham    47
3998                    77     3
3999             establish    49
4000              prospect    22
4001                   dec    48
4002                  $500    13
4003                  bonu     1
4004              directli    40
4005                   iii     9
4006           nationalist    15
4007                milken    17
4008                compil     4
4009                apolit     1
4010                  evas    14
4011                 mauro     1
4012            profession    15
4013               upfront     1
4014              unexpect     9
4015                  jobe     1
4016                bryant     1
4017                routin    20
4018               misspel     1
4019                howard    14
4020              midnight    19
4021               cursori     1
4022               unlevel     1
4023                  daze     4
4024              margaret     4
4025                  dash     4
4026           heavyweight     6
4027               slippag     1
4028              brighten     2
4029                feloni    13
4030               mysteri    17
4031                forgiv     7
4032                  balk     4
4033                 agent    83
4034               stewart     2
4035                 marti     1
4036                  faln     1
4037                  plea    16
4038                deepli    23
4039                behalf     8
4040               scrutin     2
4041                   law   118
4042               highway    19
4043                 tecla    11
4044                   190     4
4045                colina    23
4046           respiratori     2
4047                 avoid    59
4048                german    23
4049                  hurt    37
4050              reverber     1
4051              salvador    47
4052                suburb    26
4053                  lend    11
4054            schleehauf     1
4055                mechan    10
4056                infect     6
4057                epidem     2
4058                   850     2
4059            guatemalan     2
4060            salvadoran    24
4061               dismemb     1
4062                  dirt    33
4063               facilit     4
4064                lumber     3
4065              landslid    42
4066                  ward     5
4067                shovel    12
4068                   440     4
4069                 flore    15
4070                 grind     4
4071                   726     2
4072               mission    55
4073                hamper    15
4074                    et     3
4075                 broad    11
4076                   wrn     1
4077               applaus     8
4078               horrifi     5
4079                 screw     1
4080           18-year-old    10
4081                 incom    13
4082             influenti     8
4083                formal    42
4084                   $48     9
4085                  juri    12
4086                 fuzzi     1
4087                 swirl     2
4088             fleischer     1
4089                unfett     9
4090                   ari     1
4091                prerog     2
4092                explor    13
4093            ex-husband     3
4094                 revok     4
4095            final-hour     1
4096                  lewi     1
4097                arctic     6
4098                 libbi     2
4099               wildlif     1
4100                  undo     1
4101                alaska     3
4102                 typhu     1
4103               cholera     1
4104                  wave    57
4105                 groan     1
4106             lauderdal     2
4107               sideway     1
4108                 sight    25
4109                screen    13
4110                 nanci     3
4111            retherford     1
4112               bhachau     4
4113                  zero     6
4114            5-year-old     6
4115                 parth     2
4116                larger    31
4117                clinic     8
4118                  slim    10
4119                mayhem     3
4120                  clip     2
4121                 msnbc     5
4122               utterli    14
4123                   95%     1
4124                 tidal     2
4125              outbreak     6
4126               dresser     1
4127                 advis    83
4128              simultan     8
4129               pertain     1
4130              circumst    32
4131                 citat     2
4132                   dar     5
4133               opinion    23
4134                   224    26
4135               confess    10
4136                owhali     1
4137                 kenya    39
4138                    es     5
4139                precis    19
4140               satisfi    15
4141               classic     7
4142         two-week-long     1
4143              mistreat     4
4144               leonard    10
4145                 osama    84
4146                  yale     1
4147                  rash     1
4148                  oral     1
4149                secret    82
4150               doctrin     1
4151                salaam     4
4152                 daoud     1
4153             disclosur     7
4154                     h    28
4155                  uvil     1
4156               nairobi     6
4157                saddiq     1
4158                 moham    24
4159                  toss    14
4160              slightli    27
4161               written    43
4162                  fals    30
4163             underscor    14
4164                   bin    87
4165             complianc     2
4166                revers    24
4167                  avow     1
4168                 rough     8
4169                  cole   290
4170                kenyan     2
4171                compli     5
4172                modifi     6
4173              suppress    12
4174              withdrew    16
4175                 enemi    46
4176             manhattan    10
4177              interrog    16
4178              tanzania    37
4179            transcript     6
4180               miranda     3
4181              michigan    18
4182             professor    33
4183                 saudi    89
4184                   al-     1
4185          satisfactori     2
4186               kamisar     1
4187                 yemen   240
4188               feasibl     4
4189                 bench     4
4190                preced    10
4191               express    74
4192                   uss   228
4193                afford     7
4194             testimoni    19
4195                 laden    87
4196                  odeh     1
4197                  ship   193
4198                hammer    12
4199                chisel     1
4200                    mr   151
4201                  nurs     8
4202              bershard     1
4203                  rigg     4
4204                latest    60
4205              consecut    27
4206              landscap     3
4207                  wake    31
4208                inspit     1
4209                   vow    45
4210                obviou    12
4211               septemb    62
4212              encourag    33
4213               gallust     3
4214              overturn    16
4215              european    52
4216          nevertheless     9
4217                impetu     2
4218               wrongdo     8
4219              consider    28
4220               technic    24
4221              privileg     9
4222            billionair     9
4223             successor    39
4224                inclus     4
4225                inviol     1
4226                offenc     1
4227                  ladi    32
4228                mccain     5
4229               conserv    19
4230                 susan    33
4231               trigger    23
4232               mcdoogl     3
4233                 updat    18
4234                sejwal     1
4235               rebecca     1
4236                trauma     7
4237             fernandez     1
4238         rajendrakumar     1
4239              singular     1
4240               similar    47
4241           crematorium     1
4242              bangalor     1
4243                    17   191
4244                 cradl     1
4245                  $108     1
4246                  wood    16
4247                 damor     1
4248                  amit     1
4249                  gang    17
4250                   387     1
4251                murtza     1
4252            methodolog     1
4253                   ali    44
4254                 lohna     1
4255              grim-fac     3
4256               commerc    10
4257           3-foot-high     1
4258            crematoria     1
4259              consciou     4
4260                  $111     1
4261             sanskriti     1
4262                   lap     2
4263             shamshran     1
4264              allahbad     1
4265            nuvajubhai     1
4266                 rasik     1
4267                 scarv     1
4268                crackl     2
4269                  rare    54
4270                   hub     4
4271                thakur     1
4272               balawat     1
4273                 hindi     1
4274               chamber    16
4275                  ghee     1
4276                 enorm    27
4277               sangram     1
4278                   $12     2
4279                  tree    13
4280           semi-desert     1
4281           8-month-old     1
4282            ill-prepar     1
4283                unload    11
4284                 ensur    34
4285                partli    10
4286               basebal     4
4287                cyclon     1
4288                butter     1
4289                   log     6
4290                  cast    47
4291                 happi    36
4292               kansara     1
4293                 stoke     4
4294                orissa     1
4295               clarifi     3
4296              samshran     1
4297                 ahren     1
4298               joachim     1
4299                dwindl    11
4300                 teach     8
4301                segreg     1
4302                 blaze     6
4303               thakkar     4
4304                market    33
4305                 mitra     1
4306               solidar     6
4307                grumbl     2
4308                r-miss     4
4309                guilti    41
4310                flurri     4
4311               capitol    28
4312                 stray     2
4313               arizona     7
4314              transact     6
4315                  soft    10
4316                  iran    15
4317              gephardt     2
4318                flatli     1
4319               transit    45
4320                legisl    36
4321                 paint    11
4322                  $190     2
4323                yearli     1
4324                specif    55
4325                  sofa     2
4326            last-minut    10
4327                length     8
4328                chosen    14
4329                trader    11
4330               flatwar     1
4331             videodisc     1
4332                russel     1
4333                 appal     1
4334                 spark    18
4335               unregul     3
4336                  d-mo     1
4337           improprieti     1
4338                 plead    31
4339               circumv     3
4340                soften     4
4341              restrict    14
4342              feingold     1
4343              conspicu     2
4344                  lott     6
4345                  mail    14
4346               matthew     8
4347                 ethic     7
4348                  oval     4
4349                   sen    59
4350                carpet     3
4351                unless    14
4352               embargo    31
4353                   d-n     2
4354                uphold     3
4355                daschl    11
4356                dakota    19
4357                  d-wi     1
4358              indefens     1
4359              ashcroft    56
4360                waiver     5
4361               hardbal     1
4362                _creat     1
4363                compet    16
4364                outlin     8
4365               medicar    13
4366                  _met     1
4367                 _form     1
4368               chariti     5
4369                 _sent     1
4370                social    33
4371                 _said     1
4372               coverag    19
4373             faith-bas     1
4374                subsid     4
4375                 needi     1
4376                  1947     2
4377                partit     2
4378              creation     5
4379               consist    14
4380            rawalpindi     1
4381              jehangir     1
4382                coloni    20
4383                 vijay     1
4384                 c-130     3
4385               nambiar     1
4386            commission    15
4387                ashraf     1
4388                  qazi     1
4389                logist    12
4390               interim    25
4391               illicit    10
4392                theori    29
4393                  tape    20
4394               dismiss    32
4395                untold     2
4396               ernesto     4
4397                venero     1
4398                modern    24
4399                  tale     5
4400                graini     1
4401                 peddl    10
4402               olivera     5
4403            conspiraci    18
4404             state-own     4
4405              paniagua    35
4406                crusad     4
4407                 broom     1
4408             judiciari    12
4409           substandard     1
4410                  soto     3
4411                 entic     4
4412             compromis    16
4413                wildli     6
4414                  ugaz     3
4415              fernando     5
4416               distort     6
4417             blackmail     5
4418             five-year    24
4419                  copi    19
4420              hernando     3
4421             irregular    17
4422               retriev    25
4423                 black    57
4424                 voter    65
4425                judici    24
4426                shadow    17
4427                maneuv    27
4428                  jose    16
4429              re-elect    31
4430                 steer     8
4431              armament     2
4432                 mayor    30
4433             front-man     1
4434                   wad     1
4435               fraught     3
4436                    de    17
4437            clandestin     2
4438               manipul    27
4439             accomplic     5
4440                victor    14
4441                  lazo     1
4442              incrimin     3
4443             reputedli     4
4444                sordid     1
4445               spymast    19
4446                nacion     1
4447               pension     3
4448                 moral    38
4449                  hugo     1
4450             disappear    24
4451              valentin    37
4452          anti-corrupt     2
4453              dirtiest     1
4454                ex-spi    12
4455               launder    23
4456               infiltr    10
4457                 banco     1
4458                tatter     4
4459                 shown    20
4460                  grip    18
4461               gamarra     1
4462                  curb     4
4463                dehydr     3
4464                   557     1
4465               mcclean     1
4466                 purif     3
4467                 havoc     3
4468                 futil     4
4469                duguid     2
4470               wrought     1
4471                 stoni     3
4472                sattar     1
4473                    96     5
4474                 twice    42
4475                   $16     2
4476                 fierc    16
4477                 ketan     1
4478                gordon     7
4479               fernand     5
4480               350-bed     1
4481                   444     1
4482               inhabit     7
4483              stricken    11
4484              crescent     1
4485             state-run    25
4486                 abdul     5
4487                rathod     1
4488             narbheram     1
4489               societi    34
4490                hostil    15
4491               ancient     4
4492             transcend     1
4493                unhurt     1
4494                  naji     1
4495                 spray     6
4496                 mosqu    14
4497                 kasra     1
4498              decompos     1
4499             amazingli     1
4500          rubblervivor     1
4501            1-year-old     2
4502                  tant     1
4503              monument     3
4504          113-year-old     1
4505           75-year-old     3
4506                museum     7
4507               anthoni    27
4508                rocket    13
4509               testifi    25
4510                  rais    87
4511            understood    11
4512                refuel   122
4513             al-owhali     1
4514                  navi   230
4515                 wethi    10
4516               warship    77
4517          well-connect     1
4518                 zinni    18
4519             terrorist   203
4520                yemeni   128
4521             agreement    49
4522                  aden   169
4523                  cell    23
4524              pentagon   125
4525                   cia    23
4526                 freeh    25
4527             fundament    13
4528              classifi    36
4529              vote-rig     2
4530               scholar     6
4531                 misde     2
4532            thorbjoern     2
4533                placat     2
4534                  wing     7
4535           nonpartisan     6
4536                dinkic     3
4537               brussel     6
4538               mladjan     3
4539                    eu     7
4540           56-year-old     7
4541                  heel     4
4542                 donor    11
4543            cash-strap     3
4544                embark     4
4545                hubert     5
4546            indirectli     4
4547            discontinu     1
4548                  sept    47
4549                horrif     6
4550           montenegrin     7
4551                 outgo     9
4552               bloodsh     9
4553              approxim    12
4554               appoint    65
4555           swearing-in     5
4556              resurfac     5
4557               outnumb     3
4558               volatil    18
4559             policemen    14
4560             conscienc     3
4561                vedrin     4
4562                compel    10
4563               absolut    43
4564               jagland     3
4565              18-parti     9
4566                 union    59
4567                enmiti     2
4568                  defi     5
4569                 meant    22
4570                 mommi     1
4571                 decay     2
4572                 bottl     5
4573                relent     1
4574                tomato     2
4575              lifelong     1
4576                   pin     9
4577                  agon     6
4578                 sedat     1
4579                 weigh    13
4580            sandlewood     1
4581              hometown    16
4582               vividli     2
4583                pajama     1
4584                sudden    20
4585                stacey     1
4586                quiver     1
4587                  bang     7
4588                 forth     4
4589            comprehend     1
4590                spragu     1
4591                 kinda     2
4592                  bump     2
4593                  twin     6
4594                  loos    23
4595               mahatma     1
4596                 scent     1
4597           quake-ravag     1
4598               shemter     1
4599                 krall     1
4600                  arch     2
4601                prayer    20
4602                 dress    24
4603               remembr     2
4604                 staci     1
4605               spiritu     3
4606                  wire    17
4607                 sesam     1
4608                  grab    15
4609                 baird     1
4610                  tank    25
4611          introductori     1
4612                 itali    11
4613             diplomaci     8
4614     government-suppli     1
4615            eight-memb     1
4616              appropri    18
4617                 usaid     2
4618           picture-tak     1
4619                   kit    12
4620                ration     4
4621             citizenri     2
4622             navnirman     1
4623                piecem     1
4624                 rigor     1
4625               turkish     2
4626             67-member     1
4627                 chunk     4
4628                  void     7
4629             fisherman     2
4630              translat    21
4631                  usha     1
4632                 fluid     2
4633                susten     1
4634                  nath     1
4635              shopkeep     2
4636           10-year-old     4
4637                barney     1
4638               spaniel     1
4639               beleagu     3
4640               chaotic     7
4641           agonizingli     1
4642      earthquake-ravag     1
4643                 joshi     1
4644                impass     6
4645                 spenc     3
4646            multilingu     1
4647             mozambiqu     2
4648               pradeep     1
4649                wooden    10
4650              two-year     7
4651                  maze     2
4652                produc    33
4653                briton     3
4654           31-year-old     3
4655             12-strong     1
4656                confin     6
4657               abhiyan     1
4658         nine-year-old     1
4659                 thoma    18
4660                cocker     1
4661           12-year-old    19
4662               promila     3
4663                kuntal     3
4664                expand    18
4665                 truth    21
4666              quantiti     7
